"source_id","media_id","media","source_url","source_type","crawl_method","ok","status","fix_group","category","attempts","articles","discovered","attempted","detail_failures","inserted","updated","duplicated","invalid","failed","identity_mismatches","error_code","evidence","report","log"
"7ee70b31-16b2-4c3a-b11d-dfca44c2b711","ccbc3bb6-69e8-412a-80b5-8ecccc4c7eee","江西日报","https://www.jxxw.com.cn/","website","html","false","failed","原有/共用规则","网络/TLS/超时","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:05[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: https://www.jxxw.com.cn/ -> 
[32m2026-09-24 13:41:21[0m | [33m[1mWARNING [0m | [generic] 列表页失败 https://www.jxxw.com.cn/: Page.goto: Timeout 15000ms exceeded.","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-7ee70b31-16b2-4c3a-b11d-dfca44c2b711-b97f9ea4-7c0d-4b28-9a9c-8a69fc2442a0.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-7ee70b31-16b2-4c3a-b11d-dfca44c2b711-b97f9ea4-7c0d-4b28-9a9c-8a69fc2442a0.log"
"824f31e6-5efb-430b-bd5c-4bbbc9535962","62d913fb-9839-4aa0-b17b-22a0f3d012c6","内蒙古广播电视台","https://www.nmtv.cn/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:40:50[0m | [33m[1mWARNING [0m | [fetch] http 内容不足/疑似空壳，改用 playwright: https://www.nmtv.cn/","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-824f31e6-5efb-430b-bd5c-4bbbc9535962-5b286131-1534-4851-9d09-1c986595f69f.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-824f31e6-5efb-430b-bd5c-4bbbc9535962-5b286131-1534-4851-9d09-1c986595f69f.log"
"56681003-4cd5-4f6e-8494-1fb60ddd3799","707fa244-d7da-4d3d-8b43-60c808f8aa66","吉林广播电视台","https://www.jlntv.cn/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:40:51[0m | [33m[1mWARNING [0m | [fetch] http 内容不足/疑似空壳，改用 playwright: https://www.jlntv.cn/","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-56681003-4cd5-4f6e-8494-1fb60ddd3799-2d66c47b-5481-48f9-b95a-bc6369aa138e.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-56681003-4cd5-4f6e-8494-1fb60ddd3799-2d66c47b-5481-48f9-b95a-bc6369aa138e.log"
"a2cb1288-480e-490b-a067-4b6a3f57097c","05b0159a-2f62-4f79-b887-ca7a1e1f9cf5","天山网","https://www.ts.cn/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:40:51[0m | [33m[1mWARNING [0m | [fetch] http 内容不足/疑似空壳，改用 playwright: https://www.ts.cn/","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-a2cb1288-480e-490b-a067-4b6a3f57097c-f6bd2e6d-8300-4756-8e25-593837acf620.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-a2cb1288-480e-490b-a067-4b6a3f57097c-f6bd2e6d-8300-4756-8e25-593837acf620.log"
"2655bafd-fe9f-4353-8e35-a3690ee63d8c","5fdd99b1-a9a9-4314-a93f-1bba505b442f","吉林日报","http://www.dajilin.com/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:23[0m | [33m[1mWARNING [0m | [fetch] http 内容不足/疑似空壳，改用 playwright: http://www.dajilin.com/","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-2655bafd-fe9f-4353-8e35-a3690ee63d8c-f028d1f7-1206-4f08-830d-2b0102100e94.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-2655bafd-fe9f-4353-8e35-a3690ee63d8c-f028d1f7-1206-4f08-830d-2b0102100e94.log"
"b25fc002-05cf-49ef-a39a-f1875e12f886","eef09c2b-600b-4398-82e7-f56a694d08b8","湖州市新闻传媒中心","https://www.hz66.com/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:23[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: https://www.hz66.com/ -> Client error '405 Not Allowed' for url 'https://www.hz66.com/'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-b25fc002-05cf-49ef-a39a-f1875e12f886-fcb9ad25-5bc6-4d22-88a7-37df6f1e6fe4.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-b25fc002-05cf-49ef-a39a-f1875e12f886-fcb9ad25-5bc6-4d22-88a7-37df6f1e6fe4.log"
"5bccc91a-8adf-4f3f-8fbe-77441f5bd37b","9be28e9e-aac2-4619-862a-1378c45921d8","甘肃广播电视总台","https://www.gstv.com.cn/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:23[0m | [33m[1mWARNING [0m | [fetch] http 内容不足/疑似空壳，改用 playwright: https://www.gstv.com.cn/","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-5bccc91a-8adf-4f3f-8fbe-77441f5bd37b-9a93826c-5b89-4fca-9b9a-d770d07a2e11.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-5bccc91a-8adf-4f3f-8fbe-77441f5bd37b-9a93826c-5b89-4fca-9b9a-d770d07a2e11.log"
"e86e123c-7822-4902-865e-2a0cf80295ef","62d913fb-9839-4aa0-b17b-22a0f3d012c6","内蒙古广播电视台","http://www.nmtv.cn","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:23[0m | [33m[1mWARNING [0m | [fetch] http 内容不足/疑似空壳，改用 playwright: http://www.nmtv.cn","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-e86e123c-7822-4902-865e-2a0cf80295ef-3612cdec-2423-4874-86a1-5cca398d22d1.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-e86e123c-7822-4902-865e-2a0cf80295ef-3612cdec-2423-4874-86a1-5cca398d22d1.log"
"dd9ffcbc-7720-44a3-a217-8122c6ade043","8dc51d7f-70e7-4866-8d4b-092eee142ebc","辽宁广播电视台","http://www.lntv.com.cn","website","html","false","failed","原有/共用规则","HTTP 5xx（站点或代理）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:35[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://www.lntv.com.cn -> Server error '502 Bad Gateway' for url 'http://www.lntv.com.cn'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-dd9ffcbc-7720-44a3-a217-8122c6ade043-9e2704a5-afaf-437f-81bc-f70099b0465a.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-dd9ffcbc-7720-44a3-a217-8122c6ade043-9e2704a5-afaf-437f-81bc-f70099b0465a.log"
"4a5c22ff-8819-4db4-ac72-1430aea1a93e","3d9bbf13-f0c4-41b2-bd7f-a0718c602a00","潍坊日报社","https://www.wfnews.com.cn/","website","html","false","failed","原有/共用规则","网络/TLS/超时","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:41:40[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: https://www.wfnews.com.cn/ -> 
[32m2026-09-24 13:41:56[0m | [33m[1mWARNING [0m | [generic] 列表页失败 https://www.wfnews.com.cn/: Page.goto: Timeout 15000ms exceeded.","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-4a5c22ff-8819-4db4-ac72-1430aea1a93e-5ef679eb-764d-4be9-ae72-ece0ab5d2184.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-4a5c22ff-8819-4db4-ac72-1430aea1a93e-5ef679eb-764d-4be9-ae72-ece0ab5d2184.log"
